knowledge_rank,knowledge_degree
0,7.443078374
0.693147181,7.285506549
1.098612289,6.313548046
1.386294361,6.249975242
1.609437912,6.025865974
1.791759469,5.733341277
1.945910149,5.726847748
2.079441542,5.313205979
2.197224577,5.298317367
2.302585093,5.252273428
2.397895273,5.176149733
2.48490665,4.997212274
2.564949357,4.912654886
2.63905733,4.672828834
2.708050201,4.644390899
2.772588722,4.59511985
2.833213344,4.510859507
2.890371758,4.406719247
2.944438979,4.369447852
2.995732274,4.304065093
3.044522438,4.276666119
3.091042453,4.234106505
3.135494216,4.219507705
3.17805383,4.094344562
3.218875825,4.077537444
3.258096538,4.025351691
3.295836866,4.007333185
3.33220451,3.912023005
3.36729583,3.871201011
3.401197382,3.663561646
3.433987204,3.610917913
3.465735903,3.526360525
3.496507561,3.496507561
3.526360525,3.433987204
3.555348061,3.258096538
3.583518938,3.135494216
3.610917913,3.135494216
3.63758616,3.091042453
3.663561646,3.044522438
3.688879454,3.044522438
3.713572067,2.995732274
3.737669618,2.995732274
3.761200116,2.995732274
3.784189634,2.995732274
3.80666249,2.995732274
3.828641396,2.944438979
3.850147602,2.890371758
3.871201011,2.708050201
3.891820298,2.63905733
3.912023005,2.63905733
3.931825633,2.564949357
3.951243719,2.48490665
3.970291914,2.48490665
3.988984047,2.48490665
4.007333185,2.397895273
4.025351691,2.397895273
4.043051268,2.197224577
4.060443011,2.197224577
4.077537444,2.079441542
4.094344562,2.079441542
4.110873864,2.079441542
4.127134385,2.079441542
4.143134726,2.079441542
4.158883083,1.945910149
4.17438727,1.945910149
4.189654742,1.945910149
4.204692619,1.945910149
4.219507705,1.945910149
4.234106505,1.945910149
4.248495242,1.945910149
4.262679877,1.791759469
4.276666119,1.791759469
4.290459441,1.791759469
4.304065093,1.791759469
4.317488114,1.609437912
4.33073334,1.609437912
4.343805422,1.609437912
4.356708827,1.609437912
4.369447852,1.609437912
4.382026635,1.609437912
4.394449155,1.609437912
4.406719247,1.609437912
4.418840608,1.609437912
4.430816799,1.609437912
4.442651256,1.386294361
4.454347296,1.386294361
4.465908119,1.386294361
4.477336814,1.386294361
4.48863637,1.386294361
4.49980967,1.386294361
4.510859507,1.386294361
4.521788577,1.386294361
4.532599493,1.386294361
4.543294782,1.386294361
4.553876892,1.386294361
4.564348191,1.386294361
4.574710979,1.386294361
4.584967479,1.386294361
4.59511985,1.098612289
4.605170186,1.098612289
4.615120517,1.098612289
4.624972813,1.098612289
4.634728988,1.098612289
4.644390899,1.098612289
4.65396035,1.098612289
4.663439094,1.098612289
4.672828834,1.098612289
4.682131227,1.098612289
4.691347882,1.098612289
4.700480366,1.098612289
4.709530201,1.098612289
4.718498871,1.098612289
4.727387819,1.098612289
4.736198448,1.098612289
4.744932128,0.693147181
4.753590191,0.693147181
4.762173935,0.693147181
4.770684624,0.693147181
4.779123493,0.693147181
4.787491743,0.693147181
4.795790546,0.693147181
4.804021045,0.693147181
4.812184355,0.693147181
4.820281566,0.693147181
4.828313737,0.693147181
4.836281907,0.693147181
4.844187086,0.693147181
4.852030264,0.693147181
4.859812404,0.693147181
4.86753445,0.693147181
4.875197323,0.693147181
4.882801923,0.693147181
4.890349128,0.693147181
4.8978398,0
4.905274778,0
4.912654886,0
4.919980926,0
4.927253685,0
4.934473933,0
4.941642423,0
4.94875989,0
4.955827058,0
4.96284463,0
4.9698133,0
4.976733742,0
4.983606622,0
4.990432587,0
4.997212274,0
5.003946306,0
5.010635294,0
5.017279837,0
5.023880521,0
5.030437921,0
5.036952602,0
5.043425117,0
5.049856007,0
5.056245805,0
5.062595033,0
5.068904202,0
5.075173815,0
5.081404365,0
5.087596335,0
5.093750201,0
5.099866428,0
5.105945474,0
5.111987788,0
