city_rank,city_degree
0,12.71528497
0.693147181,12.3161326
1.098612289,12.28709487
1.386294361,11.82840022
1.609437912,11.78389872
1.791759469,11.5506932
1.945910149,11.50137906
2.079441542,11.41943862
2.197224577,11.26131814
2.302585093,11.15477801
2.397895273,11.09369099
2.48490665,11.04560623
2.564949357,10.9437466
2.63905733,10.84780193
2.708050201,10.81709469
2.772588722,10.81124195
2.833213344,10.77943534
2.890371758,10.69169488
2.944438979,10.68681816
2.995732274,10.624882
3.044522438,10.59084299
3.091042453,10.54883533
3.135494216,10.52023953
3.17805383,10.51650869
3.218875825,10.4767808
3.258096538,10.46135896
3.295836866,10.44514302
3.33220451,10.3365354
3.36729583,10.26764444
3.401197382,10.21379914
3.433987204,10.09547062
3.465735903,9.958543758
3.496507561,9.922946984
3.526360525,9.802672247
3.555348061,9.765259433
3.583518938,9.428672366
3.610917913,9.316320696
3.63758616,9.211040127
3.663561646,8.973478149
3.688879454,8.870101049
3.713572067,8.855235623
3.737669618,8.781555459
3.761200116,8.668883705
3.784189634,8.640648995
3.80666249,8.487558386
