id,id_2,city number,city,region,percentage,longitude,latitude
76,3,2041,Baise,Mainland of China,0.168421053,106.617376,23.89686837
77,3,2041,Baise,Mainland of China,0.168421053,106.617376,23.89686837
78,3,2041,Baise,Mainland of China,0.168421053,106.617376,23.89686837
79,3,2041,Baise,Mainland of China,0.168421053,106.617376,23.89686837
80,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
81,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
82,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
83,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
84,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
85,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
86,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
87,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
88,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
89,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
90,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
91,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
92,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
93,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
94,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
95,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
96,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
97,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
98,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
99,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
100,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
101,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
102,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
103,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
104,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
105,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
106,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
107,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
108,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
109,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
110,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
111,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
112,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
113,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
114,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
115,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
116,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
117,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
118,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
119,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
120,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
121,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
122,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
123,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
124,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
125,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
126,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
127,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
128,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
129,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
130,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
131,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
132,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
133,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
134,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
135,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
136,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
137,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
138,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
139,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
140,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
141,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
142,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
143,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
144,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
145,4,675,Baoding,Mainland of China,0.657894737,115.8019329,39.26211885
146,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
147,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
148,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
149,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
150,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
151,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
152,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
153,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
154,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
155,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
156,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
157,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
158,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
159,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
160,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
161,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
162,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
163,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
164,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
165,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
166,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
167,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
168,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
169,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
170,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
171,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
172,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
173,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
174,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
175,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
176,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
177,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
178,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
179,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
180,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
181,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
182,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
183,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
184,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
185,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
186,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
187,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
188,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
189,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
190,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
191,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
192,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
193,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
194,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
195,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
196,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
197,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
198,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
199,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
200,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
201,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
202,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
203,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
204,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
205,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
206,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
207,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
208,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
209,5,12,Beijing,Mainland of China,0.989473684,116.2911118,39.85779138
